freq,duration,purpose,c_dest,wstatus,unit,geo	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,N1-3,PER,DOM,INAC_OTH,NR,SI	682004 	600657 	629558 	696800 	685182 	2534409 	3062823 	2296720 	1686870 	857945 	659568 	925510 	794099 
A,N1-3,PER,DOM,INAC_OTH,NR,SK	3918960 	5525240 b	5798469 	7043087 	8691208 	9037490 	10078824 	11230593 	6361716 	6612906 	10251291 	10565502 	10420384 
A,N1-3,PER,DOM,INAC_OTH,NR,UK	120588222 	118641820 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,AL	: 	: 	: 	: 	: 	769002 	: 	705361 	505989 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,AT	140116 u	199196 u	169937 u	193367 u	181613 u	148896 u	208719 u	281526 	305148 	272480 	224653 u	271971 	462982 
A,N1-3,PER,DOM,UNE,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	98929 u	126092 u	160246 u	: u
A,N1-3,PER,DOM,UNE,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	110194 u	110762 u	132242 u	153701 u
A,N1-3,PER,DOM,UNE,NR,DK	: 	: 	: 	: 	: 	: 	: 	295533 u	383502 u	280730 u	212349 u	: u	249143 u
A,N1-3,PER,DOM,UNE,NR,EE	161279 u	106566 	133853 	115811 	101169 u	87535 u	199595 u	109764 u	140864 u	139590 u	132085 u	185956 	164976 
A,N1-3,PER,DOM,UNE,NR,ES	16045803 	17087896 	14634210 	21283639 b	18277167 	17387314 	14662132 	14823730 	8860025 	11567643 	11828284 	12653555 	12707515 
A,N1-3,PER,DOM,UNE,NR,FI	1285815 	1599135 	1703048 	1949215 	1911045 	1688423 	1043075 	1345664 	1283761 	1553041 	974120 	762238 	1193368 
A,N1-3,PER,DOM,UNE,NR,FR	: 	: 	: 	: 	: 	: 	: 	: 	1045263 	1108672 	1201471 	1957629 	1866565 
A,N1-3,PER,DOM,UNE,NR,HR	: 	: 	800829 	673508 	: 	245530 	: 	364811 	309832 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,HU	: 	: 	: 	410865 	373872 	163187 	135644 	111460 	128478 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,LU	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,LV	383816 	355958 	250157 	213649 	301762 	158745 	128220 u	91442 u	79335 u	103161 u	134035 	152813 	130637 
A,N1-3,PER,DOM,UNE,NR,MK	: 	: 	: 	: 	: 	: 	: 	14798 u	32338 u	17483 u	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,MT	: 	: 	: 	: u	: u	: 	: 	8610 u	: u	: u	: u	: u	: u
A,N1-3,PER,DOM,UNE,NR,NL	2515856 	1979506 	2467566 	2214619 	2186692 	1066727 	883824 	982234 	784306 	756372 	401695 	384912 	622632 
A,N1-3,PER,DOM,UNE,NR,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	954476 
A,N1-3,PER,DOM,UNE,NR,PT	1144603 	1099436 	: 	1047464 	1099689 	312012 	950343 	676736 	552082 	714136 	875280 	: u	572851 
A,N1-3,PER,DOM,UNE,NR,RO	420716 	490583 	382117 	322957 	272408 	220973 	136013 	114553 	118466 	195079 	138006 	137534 u	168582 u
A,N1-3,PER,DOM,UNE,NR,RS	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
A,N1-3,PER,DOM,UNE,NR,SI	229634 	241842 	235615 	108680 u	210445 	: 	: 	: 	: 	118703 	107300 	127941 	58443 u
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,AL	: 	: 	: 	: 	: 	: 	: 	: 	47376 	: 	: 	: 	: 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,AT	: 	: 	: 	: 	: 	: 	: 	: 	2545139 	4206213 	9377286 	10722263 	10010308 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,BE	: 	: 	: 	: 	: 	: 	: 	: 	2857707 	3466023 	6740594 	7590718 	7326704 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	82386 u	: u	261172 	454055 	705244 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,CH	: 	: 	: 	: 	: 	: 	: 	: 	3145562 	2684010 	5884704 	: 	: 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,CY	: 	: 	: 	: 	: 	: 	: 	: 	190967 	150593 u	570478 	738316 	762359 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	1348981 	1098025 	3138707 	3988423 	3264877 
A,N1-3,PER,EU27_2020_FOR,ACT_INAC,NR,DE	: 	: 	: 	: 	: 	: 	: 	: 	14813982 	18916333 	31338973 	33867921 	42363354 
